"FID","CODIGO_ACC","FORMULARIO","FECHA_OCUR","HORA_OCURR","ANO_OCURRE","MES_OCURRE","DIA_OCURRE","FECHA_HORA","DIRECCION","CLASE_ACC","LOCALIDAD","CODIGO_VEH","CONDICION","MUERTE_POS","FECHA_POST","GENERO","EDAD","GRUPO ETARIO","UPL","CATEGORÍA"
"1985","12605304","A000908054","43476","17:15:00","2019","ENERO","VIERNES","43476","CL 50A-KR 7 S 41","CHOQUE","SAN CRISTOBAL","2","CICLISTA","S","43544","FEMENINO","76","ADULTO MAYOR","Rafael Uribe","FATAL"
"1732","12607039","A000908414","43486","11:30:00","2019","ENERO","LUNES","43486","CL 45-TR 72M S 2","CHOQUE","KENNEDY","2","CICLISTA"," ","","MASCULINO","21","JUVENTUD","Kennedy","FATAL"
"446","12607100","A000908522","43486","19:20:00","2019","ENERO","LUNES","43486","CL 37A-KR 26 S 2","ATROPELLO","RAFAEL URIBE URIBE","0","PEATON","S","43487","MASCULINO","74","ADULTO MAYOR","Restrepo","FATAL"
"61","12605774","A000908636","43479","21:34:00","2019","ENERO","LUNES","43479","AV AVENIDA PRIMERA DE MAYO-KR 52 57","ATROPELLO","PUENTE ARANDA","0","PEATON","S","43479","MASCULINO","57","ADULTEZ","Puente Aranda","FATAL"
"1996","12609604","A000908700","43497","17:40:00","2019","FEBRERO","VIERNES","43497","KR 14-CL 160 S 2","VOLCAMIENTO","SUMAPAZ","1","PASAJERO","S","43544","MASCULINO","51","ADULTEZ","Toberín","FATAL"
"751","12610994","A000908795","43505","02:30:00","2019","FEBRERO","SABADO","43505","AV AVENIDA SUBA-KR 111A 2","CHOQUE","SUBA","2","CICLISTA"," ","","FEMENINO","33","ADULTEZ","Rincón de Suba","FATAL"
"749","12610989","A000908796","43504","20:40:00","2019","FEBRERO","VIERNES","43504","AV AVENIDA BOYACA-TR 33 05","CHOQUE","TUNJUELITO","1","CICLISTA"," ","","MASCULINO","28","JUVENTUD","Tunjuelito","FATAL"
"453","12607125","A000909148","43485","19:45:00","2019","ENERO","DOMINGO","43485","KR 68-CL 45 02","ATROPELLO","TEUSAQUILLO","0","PEATON","S","43485","MASCULINO","39","ADULTEZ","Teusaquillo","FATAL"
"2385","12607565","A000909244","43488","05:30:00","2019","ENERO","MIERCOLES","43488","KR 3-CL 29 S 2","ATROPELLO","SAN CRISTOBAL","0","PEATON","S","43490","MASCULINO","76","ADULTO MAYOR","San Cristóbal","FATAL"
"2074","12608471","A000909397","43493","06:49:00","2019","ENERO","LUNES","43493","KR 8-CL 24 S 2","CHOQUE","SAN CRISTOBAL","1","MOTOCICLISTA","S","43752","MASCULINO","54","ADULTEZ","San Cristóbal","FATAL"
"450","12607501","A000909454","43487","23:10:00","2019","ENERO","MARTES","43487","AV AVENIDA CIUDAD DE CALI-CL 6 93","ATROPELLO","KENNEDY","0","PEATON","S","43488","MASCULINO","29","ADULTEZ","Tintal","FATAL"
"78","12610092","A000909651","43498","21:10:00","2019","FEBRERO","SABADO","43498","TR 93-AC 53 2","CHOQUE","ENGATIVA","2","CICLISTA","S","43500","MASCULINO","32","ADULTEZ","Salitre","FATAL"
"1965","12607841","A000909658","43490","10:30:00","2019","ENERO","VIERNES","43490","AK 27-CL 6 2","CHOQUE","LOS MARTIRES","1","CICLISTA"," ","","FEMENINO","18","JUVENTUD","Centro Histórico","FATAL"
"447","12609138","A000909659","43492","21:20:00","2019","ENERO","DOMINGO","43492","TR 113-CL 64D 03","ATROPELLO","ENGATIVA","0","PEATON","N","","MASCULINO","46","ADULTEZ","Engativá","FATAL"
"1852","12608970","A000910067","43495","12:50:00","2019","ENERO","MIERCOLES","43495","TR 53-CL 2C 2","ATROPELLO","PUENTE ARANDA","0","PEATON","S","43496","MASCULINO","76","ADULTO MAYOR","Puente Aranda","FATAL"
"2273","12619353","A000910100","43496","01:04:00","2019","ENERO","JUEVES","43496","AV AVENIDA BOYACA-CL 55 2","CHOQUE","ENGATIVA","2","MOTOCICLISTA","S","43499","MASCULINO","47","ADULTEZ","Salitre","FATAL"
"1993","12609145","A000910163","43496","10:40:00","2019","ENERO","JUEVES","43496","KR 30-CL 22 2","VOLCAMIENTO","LOS MARTIRES","1","PASAJERO","N","","FEMENINO","20","JUVENTUD","Centro Histórico","FATAL"
"679","12611641","A000910183","43501","19:20:00","2019","FEBRERO","MARTES","43501","KR 5-CL 30A S 2","CHOQUE","SAN CRISTOBAL","2","CICLISTA","S","43506","MASCULINO","64","ADULTO MAYOR","San Cristóbal","FATAL"
"737","12610346","A000910206","43500","19:50:00","2019","FEBRERO","LUNES","43500","CL 139-KR 108 02","ATROPELLO","SUBA","0","PEATON","S","43610","FEMENINO","64","ADULTO MAYOR","Rincón de Suba","FATAL"
"1959","12609728","A000910265","43499","13:15:00","2019","FEBRERO","DOMINGO","43499","CL 25-KR 32A 02","CHOQUE","TEUSAQUILLO","1","PASAJERO","N","","MASCULINO","6","INFANCIA","Teusaquillo","FATAL"
"2065","12610986","A000910324","43504","22:15:00","2019","FEBRERO","VIERNES","43504","CL 16-KR 116 2","CHOQUE","FONTIBON","1","CICLISTA"," ","","FEMENINO","27","JUVENTUD","Fontibón","FATAL"
"1837","12616027","A000910361","43528","07:40:00","2019","MARZO","LUNES","43528","KR 10-CL 6 02","ATROPELLO","CANDELARIA","0","PEATON","S","43530","MASCULINO","25","JUVENTUD","Centro Histórico","FATAL"
"2147","12609978","A000910376","43500","05:05:00","2019","FEBRERO","LUNES","43500","AV AVENIDA CIUDAD DE CALI-AC 34B 12","VOLCAMIENTO","KENNEDY","1","MOTOCICLISTA"," ","","MASCULINO","19","JUVENTUD","Patio Bonito","FATAL"
"1940","12610045","A000910410","43500","17:10:00","2019","FEBRERO","LUNES","43500","AV AVENIDA PRIMERA DE MAYO-CL 53 02","ATROPELLO","KENNEDY","0","PEATON","S","43501","FEMENINO","74","ADULTO MAYOR","Bosa","FATAL"
"668","12611910","A000910661","43509","18:52:00","2019","FEBRERO","MIERCOLES","43509","AK 15-CL 100 2","CHOQUE","USAQUEN","1","PASAJERO","N","","MASCULINO","25","JUVENTUD","Usaquén","FATAL"
"1948","12610691","A000910682","43503","11:26:00","2019","FEBRERO","JUEVES","43503","CL 72-KR 75 35","ATROPELLO","ENGATIVA","0","PEATON","N","","MASCULINO","26","JUVENTUD","Tabora","FATAL"
"2042","12612068","A000910688","43508","12:10:00","2019","FEBRERO","MARTES","43508","CL 75-KR 18B S 32","ATROPELLO","CIUDAD BOLIVAR","0","PEATON","S","43509","MASCULINO","81","ADULTO MAYOR","Lucero","FATAL"
"1477","12612733","A000963230","43511","16:40:00","2019","FEBRERO","VIERNES","43511","KR 91-CL 132B 2","ATROPELLO","SUBA","0","PEATON","S","43512","MASCULINO","91","ADULTO MAYOR","Rincón de Suba","FATAL"
"635","12611168","A000963247","43475","05:12:00","2019","ENERO","JUEVES","43475","AV AVENIDA CENTENARIO-KR 96D 90","CHOQUE","FONTIBON","2","PASAJERO","S","43509","FEMENINO","24","JUVENTUD","Fontibón","FATAL"
"1947","12610934","A000963263","43505","20:45:00","2019","FEBRERO","SABADO","43505","CL 127-KR 95 75","ATROPELLO","SUBA","0","PEATON","N","","MASCULINO","48","ADULTEZ","Rincón de Suba","FATAL"
"757","12613840","A000963337","43518","13:05:00","2019","FEBRERO","VIERNES","43518","CL 26-KR 30 02","ATROPELLO","TEUSAQUILLO","0","PEATON","N","","SIN INFORMACION","0","PRIMERA INFANCIA","Teusaquillo","FATAL"
"2041","12611912","A000963338","43509","14:40:00","2019","FEBRERO","MIERCOLES","43509","CL 30A-KR 2 SE 2","CHOQUE","SAN CRISTOBAL","2","MOTOCICLISTA"," ","","MASCULINO","21","JUVENTUD","San Cristóbal","FATAL"
"667","12611928","A000963339","43508","18:50:00","2019","FEBRERO","MARTES","43508","AV AVENIDA PRIMERA DE MAYO-AV AVENIDA BOYACA 2","ATROPELLO","KENNEDY","0","PEATON","N","","MASCULINO","78","ADULTO MAYOR","Kennedy","FATAL"
"630","12613610","A000963556","43517","11:25:00","2019","FEBRERO","JUEVES","43517","KR 100-CL 54C S 2","CHOQUE","BOSA","2","CONDUCTOR"," ","","MASCULINO","48","ADULTEZ","Porvenir","FATAL"
"2281","12613411","A000963637","43516","14:43:00","2019","FEBRERO","MIERCOLES","43516","KR 17-CL 67 S 30","VOLCAMIENTO","CIUDAD BOLIVAR","2","MOTOCICLISTA"," ","","MASCULINO","20","JUVENTUD","Lucero","FATAL"
"1478","12612835","A000963710","43512","13:45:00","2019","FEBRERO","SABADO","43512","AK 68-CL 1 2","ATROPELLO","KENNEDY","0","PEATON","S","43514","SIN INFORMACION","0","PRIMERA INFANCIA","Kennedy","FATAL"
"1476","12612647","A000963711","43511","09:45:00","2019","FEBRERO","VIERNES","43511","KR 30-CL 62 2","ATROPELLO","TEUSAQUILLO","0","PEATON","S","43516","MASCULINO","18","JUVENTUD","Teusaquillo","FATAL"
"1088","12612674","A000963724","43512","05:50:00","2019","FEBRERO","SABADO","43512","AK 68-CL 39 S 2","ATROPELLO","KENNEDY","0","PEATON","N","","FEMENINO","72","ADULTO MAYOR","Kennedy","FATAL"
"636","12612445","A000963777","43511","14:00:00","2019","FEBRERO","VIERNES","43511","AV AVENIDA BOYACA-CL 6D 60","CHOQUE","KENNEDY","3","MOTOCICLISTA"," ","","MASCULINO","19","JUVENTUD","Tintal","FATAL"
"456","12612614","A000963827","43511","09:05:00","2019","FEBRERO","VIERNES","43511","KR 15-CL 61 ES 2","CHOQUE","SAN CRISTOBAL","2","MOTOCICLISTA","S","43513","MASCULINO","27","JUVENTUD","Usme - Entrenubes","FATAL"
"1843","12616325","A000963877","43518","14:51:00","2019","FEBRERO","VIERNES","43518","CL 97-KR 61A 2","CHOQUE","BARRIOS UNIDOS","2","MOTOCICLISTA","S","43525","MASCULINO","19","JUVENTUD","Barrios Unidos","FATAL"
"815","12612671","A000964069","43512","09:38:00","2019","FEBRERO","SABADO","43512","CL 160-KR 64 40","CHOQUE","SUBA","1","MOTOCICLISTA"," ","","MASCULINO","38","ADULTEZ","Britalia","FATAL"
"1737","12612670","A000964070","43512","16:20:00","2019","FEBRERO","SABADO","43512","KR 80-CL 2 S 51","CHOQUE","KENNEDY","2","MOTOCICLISTA"," ","","MASCULINO","36","ADULTEZ","Kennedy","FATAL"
"2137","12612964","A000964135","43513","21:50:00","2019","FEBRERO","DOMINGO","43513","AV AVENIDA BOYACA-CL 169B 41","ATROPELLO","SUBA","0","PEATON","N","","MASCULINO","67","ADULTO MAYOR","Britalia","FATAL"
"631","12613607","A000964136","43517","03:30:00","2019","FEBRERO","JUEVES","43517","KR 13-CL 30 S 2","CHOQUE","RAFAEL URIBE URIBE","1","MOTOCICLISTA"," ","","MASCULINO","27","JUVENTUD","Restrepo","FATAL"
"1941","12613418","A000964213","43514","09:20:00","2019","FEBRERO","LUNES","43514","KR 19C-CL 55 S 2","ATROPELLO","TUNJUELITO","0","PEATON","S","43518","MASCULINO","89","ADULTO MAYOR","Tunjuelito","FATAL"
"514","12614196","A000964555","43519","15:10:00","2019","FEBRERO","SABADO","43519","AV AVENIDA CARACAS-CL 41B S 02","ATROPELLO","RAFAEL URIBE URIBE","0","PEATON","S","43519","MASCULINO","73","ADULTO MAYOR","Restrepo","FATAL"
"617","12614723","A000964571","43521","16:00:00","2019","FEBRERO","LUNES","43521","CL 1-KR 18C 02","CHOQUE","LOS MARTIRES","2","CICLISTA","S","43660","MASCULINO","77","ADULTO MAYOR","Centro Histórico","FATAL"
"2275","12615458","A000964586","43524","22:00:00","2019","FEBRERO","JUEVES","43524","AK 30-CL 63 2","ATROPELLO","BARRIOS UNIDOS","0","PEATON","S","43525","MASCULINO","70","ADULTO MAYOR","Barrios Unidos","FATAL"
"556","12614071","A000964794","43520","02:20:00","2019","FEBRERO","DOMINGO","43520","DG 16-KR 104 2","ATROPELLO","FONTIBON","0","PEATON","N","","MASCULINO","60","ADULTO MAYOR","Fontibón","FATAL"
"1090","12615593","A000964795","43525","23:00:00","2019","MARZO","VIERNES","43525","AK 1-CL 67D 2","ATROPELLO","USME","0","PEATON","N","","MASCULINO","18","JUVENTUD","Rafael Uribe","FATAL"
"1467","12614496","A000964854","43521","18:30:00","2019","FEBRERO","LUNES","43521","CL 48C-KR 22B S 40","ATROPELLO","TUNJUELITO","0","PEATON","N","","MASCULINO","22","JUVENTUD","Tunjuelito","FATAL"
"748","12615284","A000964855","43524","12:05:00","2019","FEBRERO","JUEVES","43524","CL 56-KR 89 S 21","VOLCAMIENTO","BOSA","2","CICLISTA"," ","","MASCULINO","10","INFANCIA","Edén","FATAL"
"2155","12615599","A000964946","43526","00:15:00","2019","MARZO","SABADO","43526","AV AVENIDA CIUDAD DE CALI-CL 52A 2","ATROPELLO","ENGATIVA","0","PEATON","N","","MASCULINO","30","ADULTEZ","Salitre","FATAL"
"1850","12615654","A000965039","43526","04:30:00","2019","MARZO","SABADO","43526","CL 59-KR 77I S 07","ATROPELLO","BOSA","0","PEATON","S","43594","MASCULINO","45","ADULTEZ","Bosa","FATAL"
"2386","12615026","A000965074","43523","21:30:00","2019","FEBRERO","MIERCOLES","43523","KR 3-CL 28B S 02","ATROPELLO","SAN CRISTOBAL","0","PEATON","S","43666","MASCULINO","28","JUVENTUD","San Cristóbal","FATAL"
"2411","12615666","A000965138","43528","00:30:00","2019","MARZO","LUNES","43528","AV AVENIDA BOYACA-CL 65A S 33","ATROPELLO","CIUDAD BOLIVAR","0","PEATON","S","43528","MASCULINO","31","ADULTEZ","Lucero","FATAL"
"1720","12615342","A000965319","43525","01:03:00","2019","MARZO","VIERNES","43525","KR 1-CL 64 S 2","CHOQUE","USME","1","MOTOCICLISTA"," ","","MASCULINO","41","ADULTEZ","Rafael Uribe","FATAL"
"2290","12615602","A000965320","43526","21:40:00","2019","MARZO","SABADO","43526","KR 19A-CL 68B S 15","VOLCAMIENTO","CIUDAD BOLIVAR","1","PASAJERO","N","","FEMENINO","49","ADULTEZ","Lucero","FATAL"
"1982","12615742","A000965381","43526","09:45:00","2019","MARZO","SABADO","43526","KR 7B-CL 40A ES 2","ATROPELLO","SAN CRISTOBAL","0","PEATON","S","43529","MASCULINO","76","ADULTO MAYOR","San Cristóbal","FATAL"
"1851","12615598","A000965396","43526","19:30:00","2019","MARZO","SABADO","43526","AC 80-KR 120 02","ATROPELLO","ENGATIVA","0","PEATON","N","","MASCULINO","55","ADULTEZ","Engativá","FATAL"
"2064","12615601","A000965526","43527","02:00:00","2019","MARZO","DOMINGO","43527","CL 135-KR 14 S 2","VOLCAMIENTO","USME","1","MOTOCICLISTA","S","43527","MASCULINO","20","JUVENTUD","Usme - Entrenubes","FATAL"
"1841","12615933","A000965574","43528","08:05:00","2019","MARZO","LUNES","43528","KR 50-CL 132 2","CHOQUE","SUBA","2","MOTOCICLISTA"," ","","MASCULINO","58","ADULTEZ","Niza","FATAL"
"2047","12617918","A000965672","43535","16:42:00","2019","MARZO","LUNES","43535","CL 90-KR 95 2","ATROPELLO","ENGATIVA","0","PEATON","S","43537","MASCULINO","73","ADULTO MAYOR","Tabora","FATAL"
"2163","12616545","A000965692","43530","07:47:00","2019","MARZO","MIERCOLES","43530","KR 8-CL 186 58","ATROPELLO","USAQUEN","0","PEATON","N","","SIN INFORMACION","0","PRIMERA INFANCIA","Toberín","FATAL"
"674","12618537","A000965693","43539","22:50:00","2019","MARZO","VIERNES","43539","AK 9-CL 103 13","VOLCAMIENTO","USAQUEN","1","MOTOCICLISTA"," ","","MASCULINO","31","ADULTEZ","Usaquén","FATAL"
"1717","12628861","A000965764","43590","04:30:00","2019","MAYO","DOMINGO","43590","AV AVENIDA SUBA-CL 116 2","CHOQUE","SUBA","1","CONDUCTOR"," ","","MASCULINO","50","ADULTEZ","Niza","FATAL"
"2287","12617258","A000965765","43533","06:10:00","2019","MARZO","SABADO","43533","TR 5BIS-AC 2 E 90","VOLCAMIENTO","SANTA FE","2","CICLISTA"," ","","MASCULINO","22","JUVENTUD","Centro Histórico","FATAL"
"2410","12616267","A000965807","43529","05:28:00","2019","MARZO","MARTES","43529","AV AVENIDA BOYACA-KR 19ABISB 2","VOLCAMIENTO","TUNJUELITO","1","MOTOCICLISTA"," ","","MASCULINO","24","JUVENTUD","Tunjuelito","FATAL"
"2277","12617415","A000965808","43533","23:20:00","2019","MARZO","SABADO","43533","KR 7-CL 36 2","CHOQUE","SANTA FE","1","CICLISTA"," ","","MASCULINO","31","ADULTEZ","Centro Histórico","FATAL"
"1722","12616835","A000965824","43531","18:00:00","2019","MARZO","JUEVES","43531","KR 89B-CL 59B S 02","CHOQUE","BOSA","2","CICLISTA"," ","","MASCULINO","21","JUVENTUD","Porvenir","FATAL"
"1946","12617080","A000965843","43532","07:40:00","2019","MARZO","VIERNES","43532","CL 17-KR 88 63","CHOQUE","FONTIBON","2","CICLISTA"," ","","MASCULINO","32","ADULTEZ","Salitre","FATAL"
"680","12616316","A000965909","43529","14:20:00","2019","MARZO","MARTES","43529","DG 108A-AK 7B 2","CHOQUE","USAQUEN","1","MOTOCICLISTA"," ","","MASCULINO","59","ADULTEZ","Usaquén","FATAL"
"760","12618303","A000965910","43538","00:55:00","2019","MARZO","JUEVES","43538","KR 27-CL 6 2","CHOQUE","LOS MARTIRES","1","PASAJERO","N","","FEMENINO","69","ADULTO MAYOR","Centro Histórico","FATAL"
"761","12618302","A000965910","43538","00:55:00","2019","MARZO","JUEVES","43538","KR 27-CL 6 2","CHOQUE","LOS MARTIRES","1","PASAJERO","N","","FEMENINO","23","JUVENTUD","Centro Histórico","FATAL"
"762","12618301","A000965910","43538","00:55:00","2019","MARZO","JUEVES","43538","KR 27-CL 6 2","CHOQUE","LOS MARTIRES","1","PASAJERO","N","","FEMENINO","1","PRIMERA INFANCIA","Centro Histórico","FATAL"
"2164","12616551","A000965936","43530","11:10:00","2019","MARZO","MIERCOLES","43530","CL 9-KR 32A 68","ATROPELLO","PUENTE ARANDA","0","PEATON","S","43531","MASCULINO","74","ADULTO MAYOR","Puente Aranda","FATAL"
"2283","12616941","A000966082","43531","18:00:00","2019","MARZO","JUEVES","43531","AV AVENIDA CIUDAD DE CALI-CL 84A 2","ATROPELLO","ENGATIVA","0","PEATON","S","43531","MASCULINO","87","ADULTO MAYOR","Tabora","FATAL"
"1980","12621412","A000966124","43551","14:00:00","2019","MARZO","MIERCOLES","43551","CL 56-KR 88 S 17","ATROPELLO","BOSA","0","PEATON","S","43552","MASCULINO","94","ADULTO MAYOR","Edén","FATAL"
"829","12618960","A000966206","43542","07:36:00","2019","MARZO","LUNES","43542","DG 62-KR 19D S 2","CHOQUE","CIUDAD BOLIVAR","2","CICLISTA","S","43543","MASCULINO","39","ADULTEZ","Arborizadora","FATAL"
"2075","12618180","A000966306","43536","16:40:00","2019","MARZO","MARTES","43536","DG 38A-KR 31 S 2","ATROPELLO","RAFAEL URIBE URIBE","0","PEATON","S","43667","MASCULINO","63","ADULTO MAYOR","Restrepo","FATAL"
"2032","12619430","A000966483","43543","14:20:00","2019","MARZO","MARTES","43543","AV AVENIDA BOYACA-CL 64A S 2","CHOQUE","CIUDAD BOLIVAR","1","MOTOCICLISTA","N","","MASCULINO","28","JUVENTUD","Lucero","FATAL"
"1718","12619879","A000966484","43545","21:00:00","2019","MARZO","JUEVES","43545","DG 83-KR 1 SE 19","ATROPELLO","USME","0","PEATON","N","","MASCULINO","77","ADULTO MAYOR","Rafael Uribe","FATAL"
"455","12619437","A000966740","43543","12:00:00","2019","MARZO","MARTES","43543","KR 68-CL 67B 2","ATROPELLO","BARRIOS UNIDOS","0","PEATON","S","43543","FEMENINO","85","ADULTO MAYOR","Barrios Unidos","FATAL"
"1714","12618734","A000966836","43541","00:50:00","2019","MARZO","DOMINGO","43541","KR 71-CL 55BBIS S 2","ATROPELLO","BOSA","0","PEATON","S","43548","SIN INFORMACION","0","PRIMERA INFANCIA","Bosa","FATAL"
"1715","12618733","A000966836","43541","00:50:00","2019","MARZO","DOMINGO","43541","KR 71-CL 55BBIS S 2","ATROPELLO","BOSA","0","PEATON","S","43541","SIN INFORMACION","0","PRIMERA INFANCIA","Bosa","FATAL"
"1978","12620688","A000966922","43550","07:20:00","2019","MARZO","MARTES","43550","CL 3-KR 78L 2","ATROPELLO","KENNEDY","0","PEATON","S","43574","MASCULINO","70","ADULTO MAYOR","Kennedy","FATAL"
"1733","12621066","A000967085","43550","22:10:00","2019","MARZO","MARTES","43550","AV AVENIDA CIRCUNVALAR-CL 17 2","OTRO","SANTA FE","1","MOTOCICLISTA","S","43576","MASCULINO","27","JUVENTUD","Cerros Orientales","FATAL"
"814","12618893","A000967192","43542","13:00:00","2019","MARZO","LUNES","43542","KR 17A-CL 81 S 07","ATROPELLO","CIUDAD BOLIVAR","0","PEATON","N","","FEMENINO","41","ADULTEZ","Lucero","FATAL"
"1992","12620953","A000967271","43551","14:20:00","2019","MARZO","MIERCOLES","43551","KR 10-CL 7 02","ATROPELLO","SANTA FE","0","PEATON","S","43551","MASCULINO","57","ADULTEZ","Centro Histórico","FATAL"
"1979","12619790","A000967337","43544","23:20:00","2019","MARZO","MIERCOLES","43544","KR 104-CL 149 2","CHOQUE","SUBA","1","MOTOCICLISTA","S","43545","MASCULINO","26","JUVENTUD","Suba","FATAL"
"1981","12621719","A000967459","43552","13:40:00","2019","MARZO","JUEVES","43552","AV AVENIDA DE LAS AMERICAS-KR 71A 02","CHOQUE","KENNEDY","2","CICLISTA","S","43554","MASCULINO","53","ADULTEZ","Tintal","FATAL"
"1616","12622273","A000967515","43556","19:20:00","2019","ABRIL","LUNES","43556","KR 30-CL 3 2","ATROPELLO","PUENTE ARANDA","0","PEATON","S","43576","MASCULINO","82","ADULTO MAYOR","Puente Aranda","FATAL"
"1977","12620979","A000967540","43545","18:00:00","2019","MARZO","JUEVES","43545","CL 24-KR 33 2","CHOQUE","TEUSAQUILLO","2","MOTOCICLISTA","S","43546","MASCULINO","29","ADULTEZ","Teusaquillo","FATAL"
"1482","12619889","A000967626","43546","19:49:00","2019","MARZO","VIERNES","43546","KR 73A-CL 80 11","CHOQUE","ENGATIVA","3","PASAJERO","N","","FEMENINO","30","ADULTEZ","Tabora","FATAL"
"1736","12619885","A000967635","43546","07:50:00","2019","MARZO","VIERNES","43546","AK 45-CL 161 2","CHOQUE","SUBA","2","MOTOCICLISTA"," ","","MASCULINO","23","JUVENTUD","Britalia","FATAL"
"661","12627311","A000967636","43582","19:25:00","2019","ABRIL","SABADO","43582","KR 21-CL 168 02","ATROPELLO","USAQUEN","0","PEATON","N","","MASCULINO","22","JUVENTUD","Toberín","FATAL"
"2080","12622779","A000967708","43559","06:30:00","2019","ABRIL","JUEVES","43559","KR 14-CL 160 S 02","VOLCAMIENTO","SUMAPAZ","1","CONDUCTOR"," ","","MASCULINO","27","JUVENTUD","Cuenca del Tunjuelo","FATAL"
"677","12625245","A000967709","43569","14:28:00","2019","ABRIL","DOMINGO","43569","AV AVENIDA BOYACA-KR 18R 31","ATROPELLO","CIUDAD BOLIVAR","0","PEATON","N","","MASCULINO","74","ADULTO MAYOR","Lucero","FATAL"
"1974","12622080","A000967772","43556","06:30:00","2019","ABRIL","LUNES","43556","AV AVENIDA CARACAS-CL 28A 51","ATROPELLO","TEUSAQUILLO","0","PEATON","N","","SIN INFORMACION","0","PRIMERA INFANCIA","Teusaquillo","FATAL"
"1618","12622526","A000967773","43558","18:00:00","2019","ABRIL","MIERCOLES","43558","AV AVENIDA DEL SUR-KR 61 2","ATROPELLO","TUNJUELITO","0","PEATON","N","","MASCULINO","26","JUVENTUD","Tunjuelito","FATAL"
"1721","12621428","A000967893","43552","08:00:00","2019","MARZO","JUEVES","43552","AV AVENIDA CIUDAD DE CALI-CL 76 2","ATROPELLO","ENGATIVA","0","PEATON","S","43552","FEMENINO","19","JUVENTUD","Tabora","FATAL"
"2384","12621665","A000967969","43553","08:00:00","2019","MARZO","VIERNES","43553","CL 38C-KR 79C S 2","CHOQUE","KENNEDY","2","MOTOCICLISTA","S","43553","MASCULINO","29","ADULTEZ","Kennedy","FATAL"
"944","12620903","A000968076","43551","07:00:00","2019","MARZO","MIERCOLES","43551","AV AVENIDA CIUDAD DE CALI-KR 106 2","VOLCAMIENTO","SUBA","1","MOTOCICLISTA"," ","","MASCULINO","45","ADULTEZ","Suba","FATAL"
"2272","12622780","A000968077","43559","21:35:00","2019","ABRIL","JUEVES","43559","AC 17-KR 123 2","ATROPELLO","FONTIBON","0","PEATON","N","","FEMENINO","20","JUVENTUD","Fontibón","FATAL"
"649","12623405","A000968210","43562","14:40:00","2019","ABRIL","DOMINGO","43562","AK 68-CL 13 02","CHOQUE","PUENTE ARANDA","1","MOTOCICLISTA","S","43614","MASCULINO","19","JUVENTUD","Puente Aranda","FATAL"
"648","12621831","A000968242","43555","15:58:00","2019","MARZO","DOMINGO","43555","KR 104-CL 135A 2","CHOQUE","SUBA","2","CICLISTA","S","43555","MASCULINO","3","PRIMERA INFANCIA","Rincón de Suba","FATAL"
